书名,图书链接,评分,评价,作者,出版社,出品方,原作名,译者,出版年,页数,定价,装帧,丛书,ISBN
孙子兵法,https://book.douban.com/subject/1949420/,9.4,我国最古老最杰出的一部兵书,孙武,上海古籍出版社,,,郭化若,2006年7月,175,20.00元,平装,,9787532544400 
一桩事先张扬的凶杀案,https://book.douban.com/subject/24382569/,8.7,我如此急切地想要讲述这桩案件，也许是它最终确定了我的作家生涯,[哥伦比亚]加西亚·马尔克斯,南海出版公司,新经典文化,Crónicadeunamuerteanunciada,魏然,2013年6月,144,25.00元,精装,新经典文库：加西亚·马尔克斯作品,9787544266123 
水浒传（全二册）,https://book.douban.com/subject/1008357/,8.6,替天行道,罗贯中/施耐庵,人民文学出版社,,,,1997年1月,1314,50.60元,平装,中国古典文学读本丛书,9787020008742 
理想国,https://book.douban.com/subject/1004821/,8.8,人类历史上最早的乌托邦,柏拉图,商务印书馆,,Πολιτεία,郭斌和/张竹明,1986年8月,448,28.00元,平装,汉译世界学术名著丛书·哲学,9787100017565 
牧羊少年奇幻之旅,https://book.douban.com/subject/3608208/,8.5,你自己就是最大的宝藏,[巴西]保罗·柯艾略,南海出版公司,新经典文化,OAlquimista,丁文林,2009年3月,217,25.00元,精装,新经典文库·保罗·柯艾略作品,9787544244190 
繁花,https://book.douban.com/subject/22714154/,8.7,海上繁花，请静观静读,金宇澄,上海文艺出版社,,,,2013年3月,444,48.00元,平装,,9787532148004 
圣经,https://book.douban.com/subject/1803022/,9,上帝说，要有光,,中国基督教协会,,,中国基督教协会,1905年6月,,,精装,,
银河帝国：基地七部曲,https://book.douban.com/subject/26389895/,9.5,阿西莫夫经典科幻小说,[美]艾萨克·阿西莫夫,江苏凤凰文艺出版社,读客文化,,叶李华,2015年10月,2888,328.00元,平装,读客外国小说文库：艾萨克·阿西莫夫作品,9787539983356 
火星救援,https://book.douban.com/subject/26586492/,8.9,跟火星来一场不是你死就是我活的过家家游戏,[美]安迪·威尔,译林出版社,,TheMartian,陈灼,2015年10月,428,38,平装,安迪·威尔作品,9787544757225 
你一生的故事,https://book.douban.com/subject/26295448/,8.7,特德·姜科幻小说集,[美]特德·姜,译林出版社,,StoriesofYourLifeandOthers,李克勤/王荣生/姚向辉,2015年5月,292,36.00元,精装,特德·姜科幻作品,9787544752473 
棋王·树王·孩子王,https://book.douban.com/subject/26734559/,9.2,空,阿城,江苏文艺出版社,,,,2016年3月,200,58,精装,阿城文集（精装）,9787539979359 
黑客与画家,https://book.douban.com/subject/6021440/,8.7,硅谷创业之父Paul Graham文集,[美]保罗·格雷厄姆,人民邮电出版社,图灵教育,,阮一峰,2011年4月,264,49.00元,平装,,9787115249494 
中国哲学简史,https://book.douban.com/subject/1021273/,8.9,中国哲学入门书,冯友兰,新世界出版社,,AShortHistoryofChinesePhilosophy,赵复三,2004年1月,302,38.00元,平装,,9787801872166 
